Study_Hours,Sleep_Hours,Attendance,Assignments,Exam_Pressure,Screen_Time,Performance,Stress_Level
2,8,85,2,3,3,80,Low
3,7,82,3,4,4,75,Low
4,6,78,4,5,5,70,Medium
5,6,72,5,6,5,65,Medium
6,5,65,6,7,6,60,High
7,4,60,7,8,7,55,High
2,8,90,2,2,3,85,Low
3,7,88,3,3,4,82,Low
4,6,75,4,5,5,72,Medium
5,6,70,5,6,5,66,Medium
6,5,64,6,7,6,61,High
7,4,58,7,9,8,52,High
3,8,87,2,3,3,81,Low
2,7,84,3,4,4,76,Low
4,6,73,4,5,5,69,Medium
5,6,71,5,6,5,67,Medium
6,5,63,6,7,6,59,High
7,4,57,7,8,7,53,High
3,8,89,2,2,3,84,Low
2,7,86,3,3,4,80,Low
4,6,76,4,5,5,72,Medium
5,6,73,5,6,5,68,Medium
6,5,62,6,7,6,58,High
7,4,56,7,9,8,51,High
3,7,82,3,4,4,74,Low
4,6,75,4,5,5,70,Medium
5,5,68,5,6,6,63,Medium
6,4,60,6,8,7,55,High
2,8,90,2,2,3,85,Low
3,7,88,3,3,4,82,Low
4,6,74,4,5,5,71,Medium
5,6,70,5,6,5,65,Medium
6,5,64,6,7,6,60,High
7,4,58,7,8,7,54,High
3,8,86,2,3,3,80,Low
2,7,83,3,4,4,77,Low
4,6,72,4,5,5,69,Medium
5,6,71,5,6,5,66,Medium
6,5,63,6,7,6,59,High
7,4,57,7,9,8,52,High
3,7,81,3,4,4,73,Low
4,6,74,4,5,5,70,Medium
5,5,67,5,6,6,62,Medium
6,4,61,6,8,7,54,High
3,7,82,3,4,4,75,Low
4,6,78,4,5,5,70,Medium
5,6,72,5,6,5,65,Medium
6,5,65,6,7,6,60,High
7,4,60,7,8,7,55,High
2,8,90,2,2,3,85,Low
3,7,88,3,3,4,82,Low
4,6,75,4,5,5,72,Medium
5,6,70,5,6,5,66,Medium
6,5,64,6,7,6,61,High
7,4,58,7,9,8,52,High
3,8,87,2,3,3,81,Low
2,7,84,3,4,4,76,Low
4,6,73,4,5,5,69,Medium
5,6,71,5,6,5,67,Medium
6,5,63,6,7,6,59,High
7,4,57,7,8,7,53,High
3,8,89,2,2,3,84,Low
2,7,86,3,3,4,80,Low
4,6,76,4,5,5,72,Medium
5,6,73,5,6,5,68,Medium
6,5,62,6,7,6,58,High
7,4,56,7,9,8,51,High
3,7,82,3,4,4,74,Low
4,6,75,4,5,5,70,Medium
5,5,68,5,6,6,63,Medium
6,4,60,6,8,7,55,High
2,8,90,2,2,3,85,Low
3,7,88,3,3,4,82,Low
4,6,74,4,5,5,71,Medium
5,6,70,5,6,5,65,Medium
6,5,64,6,7,6,60,High
7,4,58,7,8,7,54,High
3,8,86,2,3,3,80,Low
2,7,83,3,4,4,77,Low
4,6,72,4,5,5,69,Medium
5,6,71,5,6,5,66,Medium
6,5,63,6,7,6,59,High
7,4,57,7,9,8,52,High
Raw data set that we used in this students stresss predictor 
